job,country,number_of_pages,unique_url
Data Analyst,Ireland,820,"https://www.glassdoor.com/Salaries/ireland-data-analyst-salary-SRCH_IL.0,7_IN70_KO8,20_IP{}.htm"
Data Analyst,Poland,700,"https://www.glassdoor.com/Salaries/poland-data-analyst-salary-SRCH_IL.0,6_IN193_KO7,19_IP{}.htm"
Data Analyst,Spain,2722,"https://www.glassdoor.com/Salaries/spain-data-analyst-salary-SRCH_IL.0,5_IN219_KO6,18_IP{}.htm"
Data Analyst,Thailand,320,"https://www.glassdoor.com/Salaries/thailand-data-analyst-salary-SRCH_IL.0,8_IN229_KO9,21_IP{}.htm"
Data Analyst,Malaysia,920,"https://www.glassdoor.com/Salaries/malaysia-data-analyst-salary-SRCH_IL.0,8_IN170_KO9,21_IP{}.htm"
Data Analyst,Estonia,95,"https://www.glassdoor.com/Salaries/estonia-data-analyst-salary-SRCH_IL.0,7_IN72_KO8,20_IP{}.htm"
Data Analyst,Vietnam,220,"https://www.glassdoor.com/Salaries/vietnam-data-analyst-salary-SRCH_IL.0,7_IN251_KO8,20_IP{}.htm"
Data Analyst,Iran,119,"https://www.glassdoor.com/Salaries/iran-data-analyst-salary-SRCH_IL.0,4_IN118_KO5,17_IP{}.htm"
Data Analyst,Ukraine,60,"https://www.glassdoor.com/Salaries/ukraine-data-analyst-salary-SRCH_IL.0,7_IN244_KO8,20_IP{}.htm"
Data Analyst,Hungary,240,"https://www.glassdoor.com/Salaries/hungary-data-analyst-salary-SRCH_IL.0,7_IN111_KO8,20_IP{}.htm"
Data Analyst,Brazil,1700,"https://www.glassdoor.com/Salaries/brazil-data-analyst-salary-SRCH_IL.0,6_IN36_KO7,19_IP{}.htm"
Data Analyst,Philippines,900,"https://www.glassdoor.com/Salaries/philippines-data-analyst-salary-SRCH_IL.0,11_IN204_KO12,24_IP{}.htm"
Data Analyst,Indonesia,1080,"https://www.glassdoor.com/Salaries/indonesia-data-analyst-salary-SRCH_IL.0,9_IN113_KO10,22_IP{}.htm"
Data Analyst,Turkey,440,"https://www.glassdoor.com/Salaries/turkey-data-analyst-salary-SRCH_IL.0,6_IN238_KO7,19_IP{}.htm"
Data Analyst,Romania,240,"https://www.glassdoor.com/Salaries/romania-data-analyst-salary-SRCH_IL.0,7_IN203_KO8,20_IP{}.htm"
Data Analyst,Bahrain,11,"https://www.glassdoor.com/Salaries/bahrain-data-analyst-salary-SRCH_IL.0,7_IN21_KO8,20_IP{}.htm"
Data Analyst,Bangladesh,278,"https://www.glassdoor.com/Salaries/bangladesh-data-analyst-salary-SRCH_IL.0,10_IN27_KO11,23_IP{}.htm"
Data Analyst,Egypt,542,"https://www.glassdoor.com/Salaries/egypt-data-analyst-salary-SRCH_IL.0,5_IN69_KO6,18_IP{}.htm"
Data Analyst,Colombia,600,"https://www.glassdoor.com/Salaries/colombia-data-analyst-salary-SRCH_IL.0,8_IN54_KO9,21_IP{}.htm"
Data Analyst,Mexico,1760,"https://www.glassdoor.com/Salaries/mexico-data-analyst-salary-SRCH_IL.0,6_IN169_KO7,19_IP{}.htm"
Data Analyst,Azerbaijan,40,"https://www.glassdoor.com/Salaries/azerbaijan-data-analyst-salary-SRCH_IL.0,10_IN9_KO11,23_IP{}.htm"
Data Analyst,Kazakhstan,80,"https://www.glassdoor.com/Salaries/kazakhstan-data-analyst-salary-SRCH_IL.0,10_IN138_KO11,23_IP{}.htm"
Data Analyst,Argentina,1440,"https://www.glassdoor.com/Salaries/argentina-data-analyst-salary-SRCH_IL.0,9_IN15_KO10,22_IP{}.htm"
Data Analyst,Belarus,20,"https://www.glassdoor.com/Salaries/belarus-data-analyst-salary-SRCH_IL.0,7_IN33_KO8,20_IP{}.htm"
Data Analyst,Serbia,60,"https://www.glassdoor.com/Salaries/serbia-data-analyst-salary-SRCH_IL.0,6_IN200_KO7,19_IP{}.htm"
Data Analyst,South Africa,580,"https://www.glassdoor.com/Salaries/south-africa-data-analyst-salary-SRCH_IL.0,12_IN211_KO13,25_IP{}.htm"
Data Analyst,Jordan,40,"https://www.glassdoor.com/Salaries/data-analyst-salary-SRCH_IM567_KO0,12_IP{}.htm"
Data Analyst,Sri Lanka,200,"https://www.glassdoor.com/Salaries/sri-lanka-data-analyst-salary-SRCH_IL.0,9_IN45_KO10,22_IP{}.htm"
Data Analyst,Greece,320,"https://www.glassdoor.com/Salaries/greece-data-analyst-salary-SRCH_IL.0,6_IN100_KO7,19_IP{}.htm"
Data Analyst,Guatemala,20,"https://www.glassdoor.com/Salaries/guatemala-data-analyst-salary-SRCH_IL.0,9_IN101_KO10,22_IP{}.htm"
Data Analyst,Bulgaria,100,"https://www.glassdoor.com/Salaries/bulgaria-data-analyst-salary-SRCH_IL.0,8_IN39_KO9,21_IP{}.htm"
Database Administrator,Japan,20,"https://www.glassdoor.com/Salaries/japan-database-administrator-salary-SRCH_IL.0,5_IN123_KO6,28_IP{}.htm"
